Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.

	Shirone vẫn còn choáng váng, sự căng thẳng của cô dịu đi, nhưng cô nhanh chóng lấy lại bình tĩnh và cúi đầu đáp lại.



	“Vâng, dạo này bạn thế nào?”



	“Ha ha, cuộc sống thường ngày của lão già không có gì thay đổi, ta đoán ngươi đến đây là để gặp tiểu thư Amy.”



	“Vâng, tôi xin lỗi vì đã đến mà không báo trước. Bạn có ở nhà không?”



	Adele gãi lông mày vì xấu hổ.



	“Anh hẳn biết tình hình. Thật ra, dạo này cô Amy hơi không khỏe. Cô Seriel đến thăm tôi hôm kia, nhưng vừa mới qua đời.”



	“Ồ, tôi hiểu rồi.”



	Nếu Seriel là bạn thân của Amy, thì Amy phải chân thành đến mức đuổi cô ấy đi.



	Nhưng Shirone không bỏ cuộc.



	“Xin hãy nói với họ là tôi ở đây. Nếu họ nói không, tôi sẽ quay lại.”



	Adele do dự một lúc rồi gật đầu.



	Trên thực tế, sau khi Amy thi trượt tốt nghiệp, bầu không khí trong biệt thự đã hỗn loạn. Nhưng vì cô không phải là kiểu người dễ biểu lộ sự bực tức, nên cô không thể tiến lên an ủi cô ấy, chỉ có thể đứng nhìn.



	Nhưng nếu là Shirone thì có thể sẽ có sự thay đổi.



	Dù sao đi nữa, cậu bé này là người bạn duy nhất có thể vào nhà Amy với tư cách là một người đàn ông.



	“Được rồi, vui lòng đợi một lát.”



	Adele, người đã ra lệnh cho lính canh hộ tống Shirone một cách tôn trọng, lên cỗ xe ngựa đang đợi trong vườn.



	'Đã gần nửa năm rồi. Bạn đã trải qua chuyện gì thế?'



	Khi cỗ xe bắt đầu chuyển động, vẻ mặt của Adele trở nên nghiêm túc hơn.



	Việc ép buộc những người đàn ông tiếp cận Amy là một trò tiêu khiển và là một thú vui nhỏ mà chỉ quản gia mới có thể tận hưởng.



	Nhưng lần này tôi thậm chí không dám thử ấn.



	Điều này là do trí óc của Shirone đã trở nên sắc bén hơn trước rất nhiều.



	Không, ngay cả từ sắc bén cũng không đủ.



	'Rùng rợn.'



	Khoảnh khắc chúng tôi chạm mắt nhau để bước đi, tôi cảm thấy lông tóc trên người mình dựng đứng.



	Tính khí chung có vẻ không thay đổi nhiều.



	Tính cách thông minh, sáng sủa và tốt bụng giống hệt Shirone mà tôi đã gặp nửa năm trước.



	Tuy nhiên, năng lượng cảm nhận được trong đôi mắt anh lại rất sắc bén.



	'Có thứ gì đó khác đang sống ở đó. Đó là một con quái vật rất đáng sợ… … .'



	Đó là sự thật mà người đứng đầu gia tộc Karmis, gia tộc tuyệt vời nhất, có thể cảm nhận được.



	Tôi không thể đoán được nó là gì, nhưng một khi bạn làm hại ai đó, nó chắc chắn sẽ chui ra và nhai nát bạn rồi nuốt chửng bạn.



	Ngay khoảnh khắc ánh mắt họ chạm nhau, Adele nhận ra rằng tình huống này không bao giờ nên xảy ra.



	Đó thực sự là một con quái vật hung dữ và cực đoan.



	'Tôi cho anh vào được không? Tất nhiên, anh sẽ không đến đây để tìm người bạn có linh hồn ma quỷ không thể kiểm soát... ....'



	Adele đã giữ lại phán quyết về vấn đề này.



	Bởi vì không có cách nào Shakora, chủ nhân của ngôi nhà, lại không biết những gì anh ta biết. Tất nhiên, không cần phải nói thì người trong cuộc cũng biết.



	Khi nghĩ về điều đó, một nụ cười cay đắng hiện lên trên khuôn mặt tôi.



	‘… … Thật là một cậu bé vô cùng vô lý.’



	Đã bao lâu rồi tôi mới cảm thấy lạnh sống lưng, dù chỉ trong chốc lát?



	Shirone đã phong ấn con quái vật đó sâu bên trong cô.



	'Bạn đã trở nên mạnh mẽ hơn trong nửa năm. Bạn thực sự là một tài năng lớn.'



	Gia đình Karmis nổi tiếng với dòng dõi thiên tài. Tài năng của Amy, nói riêng, là vô song trong số các thành viên gia đình.



	Nhưng mức độ phát triển của Shirone thì vượt quá sức tưởng tượng.



	Nếu Amy là vận động viên chạy nước rút nhanh nhất trong số loài người, thì Shirone là một người khổng lồ có sải chân ở một đẳng cấp hoàn toàn khác.



	'Điều gì khiến anh ấy cảm động?'



	Ngay khi cỗ xe dừng lại, dòng suy nghĩ của Adele cũng dừng lại.



	Với những câu hỏi chưa có lời giải đáp trong đầu, anh mở cánh cửa vào biệt thự.



	Mặc dù đã khá lâu kể từ khi kỳ thi tốt nghiệp kết thúc, nhưng bầu không khí rất trang nghiêm vẫn còn lan tỏa.



	Đối với Adele, người đã yêu thích bầu không khí đầy màu sắc của gia đình Karmis suốt cuộc đời mình, đây là một vấn đề khó khăn để thích nghi.



	“Bệ hạ.”



	Shakora, người đang đọc báo, quay lại nhìn.



	“Shirone-kun đến tìm cô Amy. Tuy nhiên, cô ấy đã thông báo với quản gia rằng cô ấy sẽ không gặp bất kỳ ai……”



	“Ừm, Shirone?”



	Shakora hiểu được cảm xúc của Amy.



	Sẽ xấu hổ biết bao nếu một cô con gái vô cùng tự hào khi trượt kỳ thi tốt nghiệp?



	Nhưng nếu đó là Shirone thì vẫn có thể cân nhắc đến ý định của cô ấy.



	Mặc dù Seriel bị từ chối, nhưng cảm xúc giữa nam và nữ rõ ràng là khác nhau.



	Isis, người đang lắng nghe trong bếp, bước ra và lên tiếng.



	“Tôi sẽ hỏi Amy trước.”



	Isis leo lên cầu thang và vào phòng Amy ở tầng hai.



	Sau một lúc ngắn ngủi nghe thấy tiếng ai đó nói chuyện, cô lại rời khỏi phòng, tiến đến lan can và lắc đầu.



	Adele, người nhận được tin nhắn của Amy, cúi đầu không chút do dự.



	“Vậy thì ta sẽ đưa Sirone trở về.”



	“Không, bảo họ vào đi.”



	Isis tỏ vẻ lo lắng khi nghe lời Shakora.



	“Nhưng Amy ơi,…”



	“Không sao đâu. Khi tôi nhìn thấy Shirone ở trường, tôi đã bảo anh đến tìm cô ấy. Sẽ rất vô lễ nếu đuổi cô ấy đi như thế này. Tôi muốn gặp anh, vì vậy hãy cho tôi vào.”



	"Được rồi."



	Adele rời khỏi biệt thự với vẻ mặt tươi tắn hơn, nghĩ rằng ít nhất cô không thể làm Shirone thất vọng.



	Mười phút sau, Shirone đã tới dinh thự.



	Shakora đang đợi trên ghế sofa, và đúng lúc đó, Isis mang ra một khay trái cây nhiệt đới.



	Shirone bước về phía Shakora và cúi đầu.



	“Xin chào, bố.”



	“Được rồi, chào mừng. Đến đây và ngồi xuống.”



	Shirone ngồi trên ghế sofa và chờ cuộc trò chuyện bắt đầu.



	Tôi nghe nói không khí trong nhà không tốt khi tôi về nên tôi không nhắc đến Amy trước.



	Giống như Adele, Shakora cũng nhìn thấu được tính khí sắc sảo của Sirone ngay từ cái nhìn đầu tiên.



	Vào thời điểm diễn ra kỳ thi tốt nghiệp, tôi quá lo lắng cho con gái mình nên không quan tâm nhiều, nhưng sau khi con gái tôi trượt, tôi bắt đầu quan tâm đến thành tích của Shirone với tư cách là một người cha.



	'Viễn cảnh đầy hứa hẹn nhất của vương quốc... ... .'



	Tất nhiên, đánh giá này không bao gồm lớp tốt nghiệp.



	Nhưng ngay cả khi tính cả lớp tốt nghiệp, tôi không nghĩ đánh giá của Shirone sẽ giảm nhiều.



	Mặc dù anh không nói với Amy, Shakora là cha cô, người đã rất nhiệt tình với việc cắt dán các bài viết về thế giới phù thủy kể từ khi cô vào trường. Học sinh mà anh đã nghe nói đến cho đến khi tai anh mòn mỏi là Dante.



	Khi Shirone đánh bại Dante, chiến binh số một vương quốc, ngay cả Gra cũng ngạc nhiên.



	Nhưng bây giờ khi tôi kiểm tra lại thì đó không phải là may mắn hay tiền bạc.



	Trong mắt các nhà sư đã thành lập một gia đình tâm linh, một khát vọng cháy bỏng muốn vượt qua thế giới trần tục đang bùng cháy.



	Adele gọi anh là quái vật, nhưng Shaco lại nghĩ khác.



	Đó cũng là Shirone.



	'Đó không phải là thứ bạn có thể có được bằng cách đi đâu đó. Liệu đó có phải là một khuynh hướng tiềm ẩn đã được thể hiện sau khi sinh không? Nhưng bằng cách nào?'



	Tôi đã nghe về những khó khăn mà anh ấy phải chịu đựng ở Vương quốc Kazura. Mặc dù vậy, anh ấy vẫn là một con quỷ siêu việt mà một cậu bé mười tám tuổi không thể chấp nhận.



	Shakora, nhận ra rằng họ đã không nói chuyện trong một thời gian dài, quay lại vòng tay của cha mình và mỉm cười cay đắng.



	“Thực ra thì cũng không đau đến thế đâu.”



	“Vâng, tôi biết.”



	Tôi nghĩ có lẽ vậy.



	Nhưng lý do tôi không nghĩ đó là lời nói dối là vì nó có thể là một tình trạng nghiêm trọng hơn nỗi đau về thể xác.



	Shakora gãi đầu như thể điều đó có gì khó khăn.



	“Thành thật mà nói, tôi không biết. Anh ấy có vẻ không gặp khó khăn gì, nhưng có vẻ hơi chán nản. Tôi nghĩ anh sẽ hiểu, đúng không?”



	“Đúng vậy. Tôi cũng sẽ làm như vậy.”



	Thay vào đó, lúc đầu bạn có thể chịu đựng được.



	Khi mọi chuyện đã đến mức này, bạn có thể quyết định bắt đầu lại.



	Nhưng khi nghĩ đến việc phải lặp lại quá trình đào tạo khắc nghiệt trong suốt một năm, việc trượt kỳ thi tốt nghiệp thực sự đau đớn.



	Mỗi ngày trôi qua, nỗi hối tiếc ngày càng lớn hơn và lòng tự ghét bản thân cứ đè nặng lên tâm trí tôi.



	“Amy rất mạnh mẽ. Cô ấy đã làm việc rất chăm chỉ kể từ khi mười hai tuổi để có được thành quả như ngày hôm nay. Có lẽ đó là lý do tại sao vết thương lại sâu hơn.”



	"Ừ, tôi đoán tốt nhất là cứ để nguyên như vậy đi. Dù sao thì, Amy hiện tại chính là như vậy."



	Shakora nhún vai đầu hàng, tỏ ý rằng bà không thể giúp gì được cho tâm trạng của con gái mình.



	Shirone hướng mắt lên tầng hai và xác nhận phòng của Amy đã được đóng chặt.



	Vào ngày thi tốt nghiệp, tôi nghĩ mình đã nghe thấy tiếng khóc buồn bã bên ngoài cửa ký túc xá.



	“Tôi có thể lên đó được không?”



	Isis nói với vẻ mặt ngượng ngùng.



	“Tôi hỏi cô ấy, cô ấy nói Amy bị bệnh và bảo tôi đưa cô ấy về. Nếu anh cứ đi theo cô ấy như vậy thì…”



	“Haha! Tôi đoán là tôi sẽ bị đánh một lần.”



	Shirone trả lời một cách vui vẻ. Nhưng mặt khác, nó truyền tải ý định không bao giờ bỏ cuộc của cô.



	Shakora thở dài, chìm vào suy nghĩ.



	Chỉ có Shirone mới có thể hiểu được 100% cảm xúc của Amy.



	Ngoài ra, việc một đứa trẻ chu đáo lại bướng bỉnh như vậy có nghĩa là tình trạng của Amy nghiêm trọng hơn nhiều so với dự kiến.



	Nếu không có đột phá, liệu pháp sốc có thể là một lựa chọn tốt.



	“Đến phòng Amy đi. Tôi cho phép.”



	"Cảm ơn."



	Shirone rời khỏi ghế sofa và đi lên cầu thang lên tầng hai.



	Isis, người đang theo dõi cảnh tượng đó, hỏi Shakora với vẻ mặt lo lắng.



	“Em yêu, em đang cố làm gì vậy? Với tính cách của Amy…….”



	“Không sao đâu. Tôi nghĩ anh hiểu rõ hơn bất kỳ ai về trạng thái tinh thần hiện tại của Amy. Trên thực tế, nếu Shirone quay lại, thì thế thôi. Nhưng nếu anh nói sẽ gặp cô ấy đến cùng, thì có nghĩa là không thể tiếp tục như thế này nữa.”



	“Còn nếu mọi chuyện trở nên tồi tệ hơn thì sao?”



	"Tôi đã nói với anh là không sao rồi. Quan trọng hơn, anh là người bạn mà Amy tin tưởng."



	Isis bĩu môi, liếc nhìn Shakora.



	'Sao lại khen con trai thế? Con gái ngốc quá... '



	=======================================





Số 324





	Khi đến phòng Amy, Shirone nín thở trước cửa.



	Trong lúc đó, tôi lắng nghe những âm thanh bên trong, nhưng không cảm thấy bất kỳ chuyển động cụ thể nào.



	Chỉ đến khi tôi dùng nắm đấm đập vào cửa thì tôi mới nghe thấy tiếng chăn sột soạt.



	Shirone hắng giọng và báo cáo.



	“Tôi là Shirone. Tôi sẽ vào.”



	Tiếng chăn chuyển động biến mất như thể đó là một lời nói dối.



	Sau khi chờ đợi một lúc lâu mà không có câu trả lời, Shirone lại lên tiếng.



	“Nếu anh không mở cửa cho tôi, tôi sẽ mở cửa rồi vào.”



	Có tiếng động lớn khi có thứ gì đó rơi khỏi giường, tiếp theo là tiếng bước chân dồn dập dữ dội.



	Cánh cửa đột nhiên mở ra và Amy thò đầu ra với khuôn mặt đỏ bừng.



	“Cái gì, cái gì vậy! Sao tự nhiên lại tới đây làm ầm ĩ thế!”



	“Tôi lo lắng vì anh nói anh bị bệnh. Nhưng anh không bị bệnh sao?”



	Amy thở dài.



	Người ta đã biết từ lâu rằng Shirone sẽ không nghe những lời nói dối vụng về.



	Amy quay về phía giường, lùi lại như thể muốn mời anh vào trong.



	“Tôi nghĩ là có một số hiểu lầm. Không phải là tôi đang tránh mọi người, mà là tôi chỉ muốn nghỉ ngơi. Tôi đang cố gắng sắp xếp lại suy nghĩ của mình.”



	“Ừ, tôi biết rồi.”



	Shirone đóng cửa lại với tiếng cười khúc khích.



	Khóe miệng Shakora nhếch lên khi cô đang đọc báo thì nghe thấy tiếng đóng cửa phòng Amy.



	“Bạn đã vượt qua cổng đầu tiên.”



	Isis cũng nhún vai như thể cô ấy rất ngạc nhiên, sau đó lấy xe và đi lên tầng hai.



	Thông thường, tôi sẽ ở lại phòng Amy và trò chuyện với Shirone, nhưng lần này, tôi chỉ đặt một cái bàn với đồ ăn nhẹ và rời khỏi phòng.



	Vì chuyện đã đến nước này, anh định trao toàn quyền cho Shirone.



	Shirone, ngồi đối diện với Amy, bật cười khi nhìn thấy những chiếc tách trà.



	Bởi vì anh nhớ đến cảnh Amy phun trà vào mặt anh cách đây nửa năm.



	Amy cũng đang nghĩ như vậy.



	Nhưng đó là một quá khứ đen tối đối với cô, nên cô đã xóa nó khỏi tâm trí và cầm tách trà lên.



	“Hôm nay có chuyện gì vậy? Anh sẽ không đưa em đến một nơi kỳ lạ như lần trước chứ? Em muốn nghỉ ngơi một chút trong kỳ nghỉ này.”



	“Đúng vậy, đó là lý do tại sao tôi đến đây. Để cho anh nghỉ ngơi.”



	Amy hỏi lại với vẻ mặt không hiểu gì.



	“Anh để tôi nghỉ ngơi sao? Bằng cách nào?”



	“Anh có muốn hẹn hò với em không?”



	“Phì ...



	Trà trong miệng Amy phun ra như vòi phun và làm ướt mặt Shirone.



	Có vẻ như việc này sẽ dừng lại ở một thời điểm nào đó, nhưng phép rửa tội bằng nước vẫn không dừng lại cho đến khi mọi thứ trong miệng ông được tuôn ra hết.



	Shirone từ từ mở mắt và nói bằng giọng nhẹ nhàng.



	“Cái này… hình như là cái thứ hai.”



	Amy đứng dậy, mặt đỏ bừng và cô lau môi.



	“Cái gì, cái gì, ngươi nói cái gì! Đồ ngốc!”



	Cô lau miệng bằng khăn giấy từ tủ quần áo, sau đó rút thêm vài tờ nữa và ném vào Shirone.



	Shirone vừa nói vừa xoa mặt.



	“Mỗi mùa đông đều có một lễ hội ở Les Mountains. Tôi luôn muốn đi, vì vậy nếu bạn quan tâm, tôi muốn đi cùng bạn.”



	Chắc chắn đó là một lời nhận xét bất ngờ. Shirone, một học sinh gương mẫu được cả thế giới biết đến, lại muốn ra ngoài chơi.



	"Ý anh là lâu đài cổ à? Di tích của Nữ hoàng băng giá. Tôi cũng biết nơi đó. Tuy nhiên, tôi chưa từng đến đó trước đây, vì tôi bận rộn."



	“Ừ. Chúng ta đi đổi gió hai đêm ba ngày đi. Dạo này tôi thấy không có động lực, nên cần nạp lại năng lượng. Lần này không có gì nguy hiểm đâu, nên chúng ta đi chơi vui vẻ nhé.”



	Amy chống cằm lên tay và ngồi suy nghĩ sâu xa. Vấn đề lớn nhất là chuyến đi kéo dài ba ngày hai đêm.



	“Anh và em không có bạn bè sao? Chúng ta sẽ ngủ ở đâu?”



	“Bạn chỉ cần tìm một nơi để ở. Chúng ta có thể thảo luận mọi thứ vào ban đêm.”



	"À ha ha…."



	Amy không nói nên lời.



	Tóm lại, anh ấy đang nói về việc sử dụng một phòng đơn, nhưng anh ấy nói điều đó một cách tự tin đến mức khó có thể nghi ngờ anh ấy.



	“Có phải anh là……”



	Amy định nói gì đó, rồi lắc đầu.



	Tôi cảm thấy rằng nếu tôi kể một câu chuyện kỳ lạ để chắc chắn thì kết cục sẽ chỉ gây ra rắc rối.



	“Tại sao? Có chuyện gì làm anh bận tâm sao? Tôi nghĩ là….”



	“Không, không sao đâu. Đợi bên ngoài đi. Tôi sẽ chuẩn bị và đi. Nói với bố là anh sẽ đi và bố sẽ cho xe ngựa đợi anh.”



	“Được, tôi sẽ đợi ở dưới nhà.”



	Shakora và Isis nhìn cô với vẻ mặt nghi ngờ khi Shirone xuất hiện sớm hơn dự kiến.



	Nhưng sau khi nghe Shirone nói, tôi liền đồng ý ngay.



	“Hoo, tàn tích của Nữ hoàng băng giá…….”



	Shakora nhớ lại những kỷ niệm thời trẻ của mình.



	Khi hẹn hò với Isis, anh cũng đã đưa cô đi hẹn hò ở tàn tích của Nữ hoàng băng giá.



	“Đó là một nơi tuyệt đẹp. Thật lãng mạn.”



	“Vâng, tôi có nghe nói vậy. Nhưng tôi nghe nói phải mất một thời gian để xem xét mọi thứ.”



	Shakora cười sảng khoái.



	“Đó là sự quyến rũ. Bạn không thể trở lại trong một ngày. Được rồi, đi đi. Tôi sẽ có một chiếc xe ngựa chờ bạn. Nếu bạn đi ngay bây giờ, bạn sẽ đến đó vào sáng mai.”



	Shirone thở phào nhẹ nhõm trong lòng.



	Theo quan điểm của cha mẹ, việc lo lắng khi chỉ gửi con gái đến trường con trai là điều dễ hiểu. Nhưng Shakora đã tiến xa hơn một bước và đưa ra một số lời khuyên.



	“Khi bạn đến địa điểm lâu đài cổ, hãy tìm một nơi gọi là Snow Crystal. Vợ tôi và tôi đã ở đó. Bạn sẽ có những kỷ niệm đẹp.”



	Isis quay lại nhìn chồng với vẻ mặt bối rối.



	Môi anh mấp máy như thể anh sắp nói điều gì đó, nhưng anh đã lỡ mất thời điểm vì Amy đã bước ra khỏi phòng.



	“Shirone, chúng ta đi thôi. Bố ơi, con sẽ đi lễ hội mùa đông.”



	Amy, mặc chiếc áo khoác mùa đông màu đỏ có viền lông thỏ, vừa nói vừa bước xuống cầu thang.



	Cô ấy đã sấy tóc rất nhanh, khói vẫn còn bốc lên từ mái tóc xoăn của cô.



	Isis, người biết rằng con gái mình không phải là người thích ăn diện, có vẻ khá ngạc nhiên trước sự thay đổi của con gái.



	Shirone cũng nhìn chằm chằm vào Amy, người có vẻ trưởng thành hơn nhiều so với hồi còn đi học.



	Sau đó, tôi lấy lại bình tĩnh và chào bố mẹ.



	“Vậy thì tôi sẽ đi.”



	“Được rồi, nhớ cẩn thận trên đường về nhé.”



	Phải mất hơn 10 tiếng mới đến được dãy núi Les, vì vậy từ bây giờ tôi phải chạy thật chăm chỉ nếu muốn đến đó vào buổi sáng.



	Khi Shirone và Amy rời khỏi dinh thự, Isis nheo mắt và hỏi chồng mình.



	“Tinh thể tuyết?”



	“Tại sao? Có vấn đề gì sao?”



	“Giờ anh gọi đó là thứ gì đó sao? Anh quên mất chúng ta đã kết hôn như thế nào rồi sao? Bởi vì anh đã lừa chúng ta lúc đó và ở đó……!”



	“Haha! Vậy sao? Dù sao thì anh cũng vui lắm.”



	Isis chống tay lên hông và khịt mũi. Có vẻ như Shakora không nhận thức được mức độ nghiêm trọng của tình hình.



	“Bạn đang nghĩ cái quái gì thế?”



	"Nếu bạn định sử dụng liệu pháp sốc, bạn cũng có thể làm đúng. Khi máu dồn lên đầu và sau đó chảy xuống, bạn sẽ tỉnh táo lại."



	“Rồi sao nữa? Nếu anh ấy không xuống thì sao?”



	“Dù sao thì đó là quyết định của Amy. Nếu cô ấy mười tám tuổi, cô ấy là người lớn. Đó là cơ thể của cô ấy, vì vậy cô ấy nên làm những gì cô ấy muốn.”



	Isis lắc đầu.



	Đôi mắt đỏ, một đặc điểm đặc biệt của gia tộc Karmis, phát huy tài năng tốt nhất trong bất kỳ lĩnh vực nào họ chọn. Đó là lý do tại sao gia tộc này đã nuôi dưỡng một truyền thống gia đình coi trọng ý chí tự do của con người và tránh những thứ như sự kiềm chế và kỷ luật.



	Nếu bạn phát huy tài năng của mình, bạn sẽ trở nên nổi tiếng bất kể bạn chọn lựa điều gì.



	Điểm mạnh nhất của gia tộc Karmis là sự đa dạng trong nghề nghiệp, với các thành viên làm ở hầu hết mọi ngành nghề.



	Khi kỷ luật và áp bức xuất hiện, tài năng sẽ bị ngăn chặn.



	Shakora, người hiểu rõ điều này hơn bất kỳ ai, đã chăm sóc Amy từ khi cô còn nhỏ, và vì thế đã có lúc họ đi lạc.



	Nhưng nếu đây là lịch sử của Hong-an thì Isis không còn lựa chọn nào khác ngoài việc chấp nhận.



	"Anh chắc là anh có thể xử lý được chuyện này chứ? Nếu sau này anh nói gì khác hoặc nói gì đó với Amy, tôi sẽ rất tức giận."



	“Chăm sóc sau đó? Tại sao tôi phải làm điều như thế?”



	Shakora mở chặt tờ báo và ngồi vào chỗ đọc, những suy nghĩ về con gái ông đã bị xóa khỏi tâm trí ông từ lâu.



	“Shirone nên làm điều đó.”





	* * *





	Bán cầu Bắc của Thiên đường.



	Đất đóng băng vĩnh cửu.



	Trên thiên đàng, nó được gọi là Optrus.



	Đó là một mô hình lưới điện từ đã trôi nổi trên những cơn gió lạnh phương Bắc trong nhiều thế kỷ.



	Thực tế là mô hình trao đổi thông tin gần như vô hạn có nghĩa là theo một nghĩa nào đó, nó là một thực thể thiêng liêng.



	Nhưng Optus không thể trở thành một vị thần.



	Đối với người Optrus có nguồn gốc từ vùng lãnh nguyên, môi trường thiên đường là một không gian buồn tẻ và nhàm chán nếu không có sự kích thích.



	Không có sự học tập nào nếu không có sự kích thích.



	Giống như một đứa trẻ bị bỏ rơi trên núi sẽ biến thành một con vật nếu nó không bao giờ rời khỏi ngọn núi trong suốt cuộc đời.



	Đó là lý do tại sao Optrus tồn tại trong nhiều năm, chỉ đơn giản là lặp lại những trao đổi thông tin vô nghĩa và đơn giản.



	Rồi một ngày, một vết nứt xuất hiện trong không gian thời gian của mê cung.



	Một sự thay đổi nhỏ mà ngay cả sinh vật sống cũng không thể cảm nhận được.



	Nhưng đối với Optrus, đó là một sự kích thích to lớn và thú vị, giống như sự sống và cái chết.



	Từ trường mạnh do Optrus phát ra khiến cực quang xuất hiện trên lãnh nguyên.



	Một vết nứt ba giây trong không gian-thời gian của mê cung.



	Optrus trốn thoát qua khe hở đó và đến một thế giới mới.



	Điểm đến đầu tiên là dãy núi Les.



	Mạng lưới điện từ tạo nên anh ta nhanh chóng hấp thụ và học hỏi môi trường xa lạ như bộ não của một đứa trẻ sơ sinh.



	Nơi Optrus có thể thu thập được nhiều thông tin nhất là tàn tích của lâu đài nằm ở giữa dãy núi Les.



	Có rất nhiều người chạy xung quanh, và mọi người đều truyền bá thông tin như một vụ nổ.



	Ở mức độ mà chính anh ta cũng không nhận ra, Optrus đã theo bản năng hấp thụ mọi thông tin.



