Số 92





	“Tên của bạn là Harvest.”
	“Bản chất con người là cảm thấy không thoải mái khi không thể di chuyển. Tôi không thể nhận thức được thời gian. Tôi không ngại bị kẹt ở đây mãi mãi.”



	Arin nghiêng đầu không tin. Những đợt sóng cô cảm nhận được từ Harvest tràn ngập một nguồn năng lượng bị kìm nén và ngột ngạt.



	“……Nhưng có lẽ, anh nói đúng.”



	“Bạn có nghĩ ra điều gì không?”



	“Được rồi. Tôi có nên gọi đó là sự tò mò không? Cách diễn đạt này không đúng lắm. Tôi được sinh ra để học hỏi từ khoảnh khắc tôi tồn tại. Nhưng bây giờ, điều đó là không thể.”



	“Đó chính xác là những gì tôi muốn nói khi nói rằng điều đó thật bực bội.”



	Harvest chìm vào suy nghĩ. Có thực sự như vậy không?



	“Làm sao anh có thể đọc được cảm xúc của tôi?”



	“Hehe. Chuyện xảy ra đúng như vậy. Tôi sống ở Radum một thời gian dài.”



	“Radum. Một khu ổ chuột ở Baska, thủ phủ của Tormia. Cơ sở ẩn náu có độ khó cao và biến động dân số cực độ. Được cho là hang ổ của các chủng tộc Ainzoid đã mất lãnh thổ trên lục địa.”



	Ngay cả Arin, người sống ở Radum, cũng lần đầu tiên nghe thấy điều này.



	“Ông Harvest biết rất nhiều.”



	“Bạn có thông tin gì?”



	“Bạn có muốn nói chuyện không?”



	“Tôi hiểu rồi. Tôi đoán chúng ta không còn cách nào khác ngoài việc nói chuyện. Tôi vẫn chưa có chủ nhân nào có thể chia sẻ suy nghĩ của mình.”



	Arin đã dành cả đêm để nói chuyện với Harvest. Đây là lần đầu tiên cô nói chuyện với một người như thế này, sau khi đã dành phần lớn thời thơ ấu của mình một mình.



	Sau hai tháng thử nghiệm, Harvest cuối cùng cũng được giải thoát. Arcane mở ống thủy tinh. Nhưng Harvest vẫn không di chuyển.



	“Ra ngoài đi. Ngươi sẽ cộng hưởng với Canis. Nhưng ngươi sẽ không phải chịu sự ràng buộc của sự phục tùng. Ta sẽ giải thích lý do sau.”



	Harvest không trả lời. Arcane quay đầu lại, ngạc nhiên khi một sinh vật ma thuật có tốc độ tính toán siêu phàm lại phản ứng chậm như vậy.



	“Tại sao? Có phải vì nó đang gây tổn hại không?”



	“Tại sao lại là Canis?”



	“Ừm. Ngươi không thích sao? Thật kỳ lạ khi ngươi, một người không có sự cộng hưởng về mặt tinh thần, lại đã phát triển sở thích với nó.”



	“Ta hiểu rằng, đối với ta, người kế thừa ký ức của ngươi, việc phục tùng ngươi là không có lợi. Nhưng Canis lại bướng bỉnh và kiêu ngạo. Ta không nghĩ hắn sẽ nghe theo lời khuyên của ta. Loại khuynh hướng đó sẽ là điểm yếu trong chiến đấu.”



	“Tất nhiên là đúng rồi.”



	“Mặt khác, Arin thì khác. Cô ấy đã sống ở Radum mười năm và chưa từng gặp ai khác ngoài Canis. Do đó, khả năng nhạy cảm về mặt tâm linh của cô ấy cực kỳ nhạy bén.”



	“Bạn đang nói đến kinh nguyệt à?”



	Menarche là một mô hình sóng não độc đáo khiến cô ấy cảm nhận mọi thứ như thể cô ấy đang nhìn thấy chúng lần đầu tiên. Arin đã lớn lên mà không nhìn thấy bất cứ thứ gì kể từ khi cô ấy còn là một đứa trẻ, và bộ não của cô ấy đã trở nên cứng nhắc trong trạng thái đó.



	Cho nên nàng không thể phân biệt đồ vật như người thường, nhưng nàng tuyệt đối có thể nắm bắt được cảm xúc ẩn chứa trong đồ vật, mặc dù có nhiều bất tiện, nhưng là năng khiếu tốt nhất của một pháp sư tâm linh.



	Arcane cũng biết rằng tài năng của Arin đặc biệt hơn Canis.



	“Không, Arin. Cô ấy quá mỏng manh.”



	“Tôi không hiểu. Ngoại hình của cô ấy bù đắp cho những khuyết điểm khác của tôi. Cô ấy có thể phát huy tối đa khả năng của tôi.”



	Arcane mỉm cười cay đắng.



	Mặc dù chúng ta có cùng ký ức nhưng hình thức lại khác nhau, vậy thì phán đoán của chúng ta có khác nhau không?



	“Có lẽ lời của anh có lý hơn. Nhưng Arin, không. Anh sẽ đến Canis.”





	* * *





	“Kekekekekeke!”



	Harvest rơi xuống làm rung chuyển cơ thể của nó.



	“Thì ra là vậy, Arcane.”



	Chỉ đến giây phút cuối cùng của cuộc đời, anh mới có thể nhận ra tại sao Arcane lại chọn Canis thay vì Arin, người có tài năng phép thuật tuyệt vời như vậy.



	'Anh ấy cũng bướng bỉnh như vậy.'



	Cú rơi của Harvest không có trọng lượng, khiến nó trông càng thảm hại hơn.



	"Mùa gặt!"



	Canis chạy đến chỗ Harvest. Cơ thể Harvest, teo tóp lại như một tờ giấy mỏng, đầy lỗ thủng, khiến việc nhìn ngắm trở nên khó khăn.



	“Tại sao! Tại sao anh lại làm thế! Tôi không quan tâm đến việc mình có chết hay không! Nếu mọi chuyện sẽ như thế này, tại sao ngay từ đầu anh không phản bội tôi! Tại sao lại thế này!”



	“Hahaha. Ta làm sao biết được? Ngươi là chủ nhân của ta.”



	Canis dường như đã nhận ra điều gì đó và ngậm chặt miệng lại.



	“Còn đối với sinh vật ma thuật, chúng có thể làm bất cứ điều gì chủ nhân của chúng muốn.”



	"Mùa gặt……."



	Đầu của Canis cúi xuống. Anh ta rất oán giận và đau khổ vì cuộc sống đến nỗi anh ta muốn chết thay. Nhưng mặt khác, anh ta muốn sống. Tại sao anh ta lại không muốn sống? Đó là ý nghĩa của việc trở thành con người. Harvest dường như biết. Đó là lý do tại sao anh ta quyết định phá vỡ hợp đồng với chủ nhân của mình và tự tử.



	“Tôi xin lỗi, Harvest. Tôi…….”



	Harvest không quan tâm. Những sinh vật ma thuật làm những gì chủ nhân của chúng muốn. Đó là cách chúng được thiết kế, vì vậy cái chết không phải là điều gì đó gây sốc. Anh ta quan tâm hơn đến sức mạnh chiến đấu của Shirone, thứ đã vượt qua lối chơi kết hợp của Canis và anh ta.



	'Hmm. Bạn sử dụng phép thuật kỳ lạ. Nhưng không phải là bạn chỉ bị đẩy ra ngoài bằng phép thuật.'



	Chắc chắn là một kẻ thù mạnh mẽ. Nó không ngần ngại khuất phục đối thủ. Tuy nhiên, nó không có tính cách hiếu chiến. Thay vào đó, phong cách chiến đấu của nó, hoàn toàn tập trung vào kết quả, giống như một sinh vật ma thuật.



	'Tốc độ phục hồi cảm xúc cực kỳ nhanh. Có lẽ đó là sự sáng suốt siêu phàm. Thời gian từ vấn đề đến giải pháp ngắn đến mức có vẻ như không thay đổi.'



	Harvest, người đã phân tích xong, xé khóe miệng. Anh ta hoàn toàn chuyên về một thứ gì đó. Anh ta không biết đó là gì, nhưng đó không phải là đặc điểm thường thấy trong tự nhiên.



	'Kekekeke. Arcane, ngươi sẽ gặp khó khăn đấy.'



	Biểu cảm của Arcane không tốt, không có một con người nào có thể làm theo ý anh ta, bất kể là người này hay người kia. Cảm thấy ghê tởm với tình hình hiện tại, anh ta chậm rãi bước đi và nói.



	“Thật thảm hại, Canis. Ngay cả khi anh bôi nó lên mặt tôi thì……”



	"câm miệng."



	Shirone ngắt lời anh ta. Đôi mắt của bạn cô mở to trước những lời nói hung hăng khác thường của cô. Ngược lại, Arcane quay đầu lại như thể anh ta quan tâm. Nếu điều đó quá vô lý, anh ta thậm chí sẽ không tức giận.



	“Ha ha ha! Thật là một đứa trẻ hoạt bát. Ngươi thấy thế nào? Ta cho ngươi một đề nghị…….”



	"Tôi bảo anh im lặng, anh không nghe thấy sao?"



	Lần này, vẻ mặt của Arcane không khỏi trở nên cứng đờ.



	“Ta đã tuyệt vọng chống đỡ rồi. Vậy nên im lặng đi. Nói thêm một lời nữa là ta sẽ tiêu diệt ngươi.”



	Cơ thể của Shirone phát sáng với ánh sáng đỏ dịu nhẹ. Tia laser. Sức mạnh của nó đã được xác nhận. Nếu nó có thể làm nổ tung Harvest, người chuyên hấp thụ năng lượng, bằng năng lượng quá mức, thì ngay cả một pháp sư vĩ đại cũng có thể xử lý được.



	Nhưng mà, những bằng hữu đang xem không khỏi cảm thấy máu trong người khô cạn. Đối thủ là một vị đại ma pháp sư chỉ huy thiên hạ, mà Shirone chỉ là một học viên. Loại khiêu khích này cùng tự sát hành vi không khác gì nhau.



	“Anh đang làm cái quái gì thế? Nếu anh cứ tiếp tục thế này, chắc chắn sẽ có chuyện không ổn xảy ra?”



	“Không. Sẽ ổn thôi.”



	Naid và Iruki cùng lúc quay lại nhìn Etella.



	“Thầy ơi, thầy có ý gì vậy? Chúng ta không nên dừng lại ngay sao?”



	“Đây là tình huống khó khăn đối với Arcane. Họ đang ở thế bất lợi. Nếu ma thuật trước đó của Shirone là một loại năng lượng tập trung, Arcane hiện tại không thể chặn ma thuật của Shirone. Vì có khả năng cô ấy sẽ bị cắn, cô ấy sẽ không hành động dựa trên cảm xúc. Shirone biết điều đó.”



	Nade quay lại nhìn Sirone. Dù vậy, chỉ có Sirone mới có thể tỏ ra can đảm với Archmage.



	'Dù sao thì tôi cũng đã nói là anh ấy thông minh.'



	Arcane ngoan ngoãn thừa nhận.



	“Ừ. Có lẽ bây giờ anh có thể chế ngự được tôi rồi.”



	Trong chốc lát, chung quanh trở nên yên tĩnh. Thật khó mà tin được những lời này lại xuất phát từ miệng của vị pháp sư vĩ đại. Nhưng mà, chúng không phải là những suy nghĩ sinh ra từ sự hèn nhát. Ngược lại, ông ta đang mỉm cười nhàn nhã.



	“Sóng đỏ. Có vẻ như là nguyên lý khiến hạt rung động, và thực sự là kẻ thù tự nhiên của ma thuật đen. Hơn nữa tôi cũng mệt mỏi, nên có vẻ như sẽ rất khó để ngăn cản anh.”



	Arcane theo dõi phản ứng của Sirone một cách chăm chú.



	“Thế nào? Khi tôi nghe điều này từ Đại pháp sư.”



	“Anh có ý gì? Tôi đã bảo anh đừng nói gì mà.”



	“Phép thuật, vui không?”



	Shirone nhíu mày. Cô không hiểu Arcane đang muốn nói gì.



	“Đó chính là phép thuật. Nó không công bằng, và không có quy tắc nào nói rằng nó phải như thế này. Nó không thể đoán trước được vì nó không có giới hạn. Một phù thủy thiên thạch có thể thổi bay cả một thành phố có thể chết trong tay một phù thủy đánh thuê tầm thường. Đó chính là thế giới phép thuật. Vì vậy, sẽ không có gì lạ nếu tôi bị anh đánh bại.”



	“Vậy anh muốn nói gì? Anh có muốn trả giá không?”



	“Bạn có thể hiểu theo cách đó, nhưng…….”



	Khói đen bốc lên từ cơ thể Arcane. Lòng trắng mắt của anh ta hiện rõ và biểu cảm của anh ta ma quái. Ý định giết người sắc bén như một lưỡi kiếm bùng nổ và lan ra khắp mọi hướng.



	“Người ta nói rằng bạn phải chiến đấu để biết.”



	Shirone vô thức lùi lại một bước. Đó là tinh thần chiến đấu thuần túy không liên quan gì đến kỹ năng hay cấp độ. Đó là khí tức tử vong mà chỉ có người đã vượt qua vô số ranh giới tử thần mới có thể tỏa ra.



	“Cho dù các ngươi có hợp nhau đến thế nào, nếu không thắng được cũng vô dụng. Ngươi nghĩ sao? Muốn đối đầu với ta sao?”



	Đôi môi vẫn luôn tự tin của Shirone lần đầu tiên trở nên im lặng. Cô không muốn chiến đấu bằng trái tim chân thành. Tinh thần chiến đấu của Arcane lại áp đảo đến vậy.



	'Đúng như dự đoán, mọi chuyện vẫn là sự việc.'



	Anh ta liên tục tấn công vào điểm yếu, và sau đó ngay lập tức thay đổi lập trường khi nó biến mất. Anh ta không cố chấp. Suy nghĩ của anh ta linh hoạt như nước, và tầm nhìn của anh ta mở ra mọi hướng. Tôi nghĩ tôi hiểu một chút tại sao Canis bị đánh bại.



	=======================================





Số 93





	“Phán đoán đúng. Thật là ngu ngốc khi bỏ qua chín trong mười chỉ vì bạn có một. Bất kể tình huống nào, bạn không bao giờ nên ngừng suy nghĩ. Mọi thứ trên thế giới đều được quyết định bởi lượng suy nghĩ. Tương tự như vậy đối với các trận chiến.”



	“Đừng hiểu lầm tôi. Tôi sẽ không bao giờ tha thứ cho anh.”



	“Ha ha! Nếu như ngươi có can đảm, vậy thì càng tốt hơn. Để ta đoán thử xem. Ngươi là loại người trưởng thành thông qua luyện tập. Một ngôi trường chỉ dạy cho ngươi những thứ đã được định sẵn thì không phù hợp với ngươi. Ngươi nghĩ sao? Ngươi không đi cùng ta sao? Vậy thì ta sẽ biến ngươi thành phù thủy giỏi nhất.”



	“Đừng nói nhảm nữa, giáo viên ở đây còn đáng kính hơn mấy tên giết người như anh.”



	“Vậy hãy nói cho tôi biết. Bạn đã học được gì ở đây? Pháo photon? Sóng đỏ? Hay nó có cho bạn lời khuyên nào về chức năng bất tử không?”



	Đôi mắt của Shirone hơi rung động.



	“Bạn làm thế nào thế…?”



	Arcane bật cười. Đây hẳn là lý do tại sao anh ta trở thành một giáo viên. Anh ta có thể tập hợp những đứa trẻ không biết gì về thế giới và nói những điều vô nghĩa theo ý mình.



	“Thật sự là hiếm thấy. Hiếm thấy. Chức năng bất tử có phải là thứ gì đó phổ biến không? Nhưng mà, con của ta, có rất nhiều quái vật đáng sợ sống ở những nơi mà con không biết. Nếu con ở đó và vui chơi thì…”



	Arcane mỉm cười, nháy một mắt.



	“Mở khóa cũng không phải là chuyện hiếm.”



	Shirone nuốt khan. Phải trải qua bao nhiêu đường chết mới có thể nói rằng người mở khóa không phải là hiếm? Bất kể kỹ năng, kinh nghiệm tích lũy được là một người khác.



	“Tôi đã gặp 7 người trong 100 năm. 4 người trong số họ là người tử tế, và 3 người trong số họ tôi đã giết. Đặc điểm của Unlocker là tính độc đáo của nó. Khả năng bóp méo là vô hạn. Tuy nhiên, tính độc đáo chưa được rèn luyện chắc chắn sẽ chết trước sự ổn định lớn hơn.”



	Đó là một tuyên bố gây tức giận nhưng không thể phủ nhận. Cá tính có thể là một biến số bỏ qua sức mạnh khách quan, nhưng mặt khác, nó là con dao hai lưỡi có thể mất đi sức mạnh của mình một cách vô ích khi đối mặt với lối chơi đẹp.



	“Bạn sẽ không học được gì từ một ngôi trường phớt lờ cá tính của bạn và dạy bạn những điều tương tự. Bạn cần phải mài giũa điểm mạnh của chính mình. Tôi có thể giúp bạn làm điều đó.”



	"Bạn không học phép thuật để hạ gục ai đó. Đừng đối xử với họ như con người, giống như bạn vậy."



	Arcane đọc được sự xung đột trong mắt Shirone. Điều đó là tự nhiên. Nếu không phải vì nỗi ám ảnh với phép thuật và mong muốn thành tựu của cô, cô sẽ không thể đạt được vị trí như bây giờ.



	“Có lẽ anh nghĩ rằng mọi người đều thích anh bây giờ. Nhưng con người vốn dĩ thân thiện với những người vĩ đại. Không phải là tôi đặc biệt thích anh. Anh nghĩ anh có thể tiếp tục tương tác với những người đạo đức giả như vậy trong bao lâu?”



	Mọi người liên quan đến lời nói của Arcane đều cau mày.



	Nhưng Shirone chỉ im lặng lắng nghe.



	“Cố lên. Để bọn họ không thể mãi mãi phớt lờ bạn. Nếu không, bọn họ sẽ giẫm đạp bạn. Và khi điều đó xảy ra, bạn có thể tránh được cuộc chiến bằng một cái cớ hoa mỹ không?”



	Arcane giơ ba ngón tay lên.



	“Ba năm. Trong thời gian đó, tôi sẽ nâng bạn lên một trình độ kỹ năng mà không ai trên lục địa này có thể bỏ qua. Bạn có nghĩ rằng ba năm là quá ngắn không? Theo tôi, không. Nếu bạn phát huy tối đa cá tính của mình, điều đó không có nghĩa là không thể.”



	Ít nhất thì nó không phải là vô nghĩa đối với Shirone. Chẳng có gì tốt đẹp có thể đến từ anh ta, một Unlocker, từ bỏ sự hướng dẫn của Archmage và ở lại trường. Tốt nhất là, sẽ dễ dàng để có được một công việc trong Magic Society?



	“Anh nói đúng.”



	Khuôn mặt của Iruki và Nade tối sầm lại.



	“Shirone……”



	Nếu đúng như vậy thì không cần phải phủ nhận. Unlocker có một vị trí độc nhất ngay cả trong cộng đồng phù thủy, và nền giáo dục chuẩn mực tại trường phép thuật có những hạn chế trong việc phát triển kỹ năng của anh.



	“Có lẽ anh đúng. Nhưng tôi sẽ không đi theo. Trường học không phải là nơi để tôi chiến đấu, mà là nơi để tôi sống. Thầy cô, bạn bè, cảm giác được thuộc về. Tôi không nghĩ anh có thể cho tôi điều đó.”



	Arcane rất ấn tượng. Bất kể Alpheus đã sử dụng thủ đoạn gì, anh ta không thể không ngưỡng mộ khả năng tẩy não học sinh của anh ta.



	“Bây giờ bạn đang bị lừa dối. Khi bạn thực sự sống, những điều như vậy không quan trọng. Nếu bạn không mạnh mẽ, bạn sẽ chỉ là một đứa trẻ khác ở trường. Chứng minh sức mạnh của bạn là tất cả những gì có trong cuộc sống.”



	"Nếu thực sự chỉ có thế thì tại sao anh lại làm thế?"



	"Cái gì?"



	"Sau khi chiến đấu hết mình để trở thành một phù thủy vĩ đại, giờ anh còn lại gì? Mọi người đều ghét anh. Anh không cô đơn sao? Không ai quan tâm, nên đây là cách duy nhất để chứng minh bản thân."



	Arcane nghiến răng với khuôn mặt đỏ bừng.



	“Ngươi nói nhảm. Kẻ mạnh thì cô đơn. Họ cố gắng gắn bó với nhau vì họ yếu đuối. Hãy nhìn tình hình hiện tại. Mọi người đều quỳ dưới chân ta. Ta đang thống trị họ. Đây chính là cô đơn.”



	“Không. Anh chỉ là một kẻ giết người không quan tâm đến bất kỳ ai.”



	Khi nghe đến từ "kẻ giết người", sự điên loạn hiện lên trong mắt Arcane.



	“Hahaha! Có lẽ đúng vậy. Nhưng anh có biết không? Tôi từng có một người đồng chí. Nhưng anh ta đã dẫn dắt mọi người xung quanh mình đến bờ vực diệt vong. Đó là Alpheus, người mà anh tôn trọng.”



	Sirone không tin. Anh đã nghe Etella nói rằng hai người có hiềm khích. Alpheus mà anh biết không bao giờ là người sẽ dẫn dắt người khác đi đến diệt vong.



	“Tôi không biết chuyện gì đã xảy ra trong quá khứ, nhưng tôi sẽ không nghe anh. Bởi vì anh là kẻ giết người. Và anh vẫn đang giết người.”



	“Một kẻ giết người. Cho dù Alpheus kia… cũng là một kẻ giết người giống như tôi?”



	Shirone mở to mắt, lần này, cô không khỏi kinh ngạc.



	“Đó là lời nói dối. Anh biết gì về hiệu trưởng?”



	“Ha ha ha! Đương nhiên là ta biết, đứa nhỏ kia là đệ tử của ta.”



	"Gì?"



	Shirone không nói nên lời. Alpheus đã là người tiên phong trong phép thuật ánh sáng từ khi còn nhỏ. Vậy thì làm sao một người sử dụng phép thuật bóng tối có thể trở thành chủ nhân của anh ta?



	Có lẽ cũng cảm nhận được sự mỉa mai, Arcane ngước mắt nhìn bầu trời với đôi mắt mơ màng. Những sự kiện của ngày hôm đó vẫn còn sống động như thể chúng mới xảy ra ngày hôm qua. Đột nhiên, có điều gì đó hiện lên trong tâm trí, anh ngừng suy nghĩ và nhìn lại Etella.



	“Alpheus đã kết hôn chưa?”



	“Không. Ông ấy đã dành cả cuộc đời mình một mình, cống hiến hết mình cho sự nghiệp giáo dục.”



	"Tôi hiểu rồi."



	Một thoáng buồn thoáng qua trong mắt Arcane. Mặc dù anh đã ghét Alpheus trong 40 năm, nhưng điều duy nhất anh có thể thông cảm là Erina.



	“Tôi không biết bạn có biết không, nhưng Alpheus đã kết hôn.”



	Etella nghiêng đầu. Theo như cô biết, Alpheus vẫn còn độc thân. Ngay cả khi họ đã kết hôn và chia tay, thì việc nó vẫn được ghi vào hồ sơ là điều bình thường vì đó là sự kết hợp của các gia đình.



	“Nhưng hiệu trưởng vẫn còn độc thân ngay cả trên giấy tờ.”



	“Có vẻ như cuối cùng anh ấy không được công nhận. Nhưng Alpheus đã kết hôn. Họ sống với nhau trong ba năm. Cô ấy là một người phụ nữ tên là Erina. Cô ấy là một người phụ nữ tuyệt vời. Cô ấy thông minh và xinh đẹp hơn bất kỳ ai khác.”



	“Hai người rốt cuộc đã xảy ra chuyện gì? Có phải vẫn còn oán hận sau 50 năm không?”



	“Vào thời điểm đó, Alpheus là một trong những ngôi sao mới nổi được công nhận vì lý thuyết lượng tử của mình. Bạn có thể đoán được địa vị của anh ấy vì anh ấy đã nhận được Giải thưởng Vòng tròn Vàng từ Hoàng đế. Anh ấy được thuê vào Sở ma thuật Long Lôi và bắt đầu một gia đình với một người phụ nữ từ gia đình Bastard, vì vậy anh ấy không có gì để ghen tị trên thế giới. Tuy nhiên, anh ấy cũng có những lo lắng của mình.”



	Arcane nói và vỗ đầu anh.



	“Trí thông minh của vợ tôi Erina hơi thấp, chỉ bằng một đứa trẻ mười tuổi.”



	"Tôi hiểu rồi."



	“Nhưng Alpheus không quan tâm. Anh ấy thực sự yêu vợ mình. Tình yêu của anh ấy không bao giờ là sự thương hại hay giả vờ.”



	Ký ức của Arcane quay ngược thời gian. Đó là 40 năm trước. Đó là thời điểm Arcane thống trị thế giới và Alpheus, người bước vào thế giới phép thuật, được gọi là Supernova.





	“Giải thưởng Vòng tròn vàng của năm! Mirhi Alpheus!”



	Tiếng kèn hiệu vang lên trong Đại sảnh. Alpheus rơi nước mắt vì vui sướng khi bị tờ giấy nhiều màu rơi từ trên trần nhà trúng. Giải thưởng Vòng tròn vàng được trao cho phù thủy có thành tích tốt nhất trong một năm. Khi chiến thắng, anh ta có thể bước vào Sấm sét của Rồng và nhận được sự ủng hộ từ nhiều gia đình quý tộc.



	“Chúc mừng, Alpheus. Tôi biết anh sẽ là người cưỡi ngựa.”



	“Tôi xin nhờ anh giúp đỡ sau này, chắc chắn anh sẽ không vì thành công mà quên mất bạn học chứ?”



	Một số lượng lớn các pháp sư tụ tập quanh Alpheus. Họ muốn bắt giữ anh ta trước, vì cổ phiếu của anh ta được kỳ vọng sẽ tăng vô tận trong tương lai.



	Nhưng chắc chắn có một số ánh nhìn khó chịu. Đặc biệt, khuôn mặt của Sarov, người đã chiến đấu hết mình để giành giải thưởng cho đến phút cuối, nhăn nheo như thể anh ta đã nhai phân.



	“Hử. Anh được thăng chức nhờ bắt được một thằng ngốc. Làm sao anh có thể đánh bại được sự kết hợp giữa Mirhi và Bastard?”



	“Đúng vậy. Anh ấy thực sự là một người bạn tốt. Nhưng chúng ta có thể làm gì với kết quả như thế này? Từ giờ trở đi, chúng ta nên cẩn thận với những gì chúng ta nói với Alpheus.”



	Sarov cũng biết điều đó. Trong mọi trường hợp, vì anh không thể rời khỏi hội ma thuật, tốt nhất là nên kết bạn với Alpheus.



	“Anh định làm gì, Sarov? Gặp nhau riêng rẽ sẽ kỳ cục hơn. Sao anh không hỏi tôi ngay bây giờ và yêu cầu hòa giải?”



	“Không, tôi không muốn. Tôi ổn, vậy sao anh không đi?”



	“Tôi cũng thấy vậy. Chúng ta hãy làm sau đi. Hai người thì tốt hơn một người. Bạn có muốn đi uống nước không?”



	“Tôi đoán vậy. Tôi không muốn ở lại đây nữa.”



	Sarov rời cung điện cùng bạn bè. Sarov cũng là một người vào chung kết nhưng đã suýt giành được giải thưởng Gold Circle, nhưng không ai chú ý đến người thua cuộc.



	Clump phá lên cười sảng khoái và kéo Alpheus ra khỏi đám đông. Alpheus cố gắng lấy lại hơi thở, nhưng ngay sau đó mặt cậu bị kẹt trong cẳng tay của Clump và cậu bị lắc dữ dội.



	“Hahahaha! Đứa trẻ này! Nó đã làm được! Bạn tôi đã có được vòng tròn vàng! Tôi không thể tin được!”



	“Đau quá! Đau quá!”



	Alpheus hét lên, nhưng sự ăn mừng của Clump vẫn không dừng lại.



	"Khi bạn giả vờ thông minh và bạn không may mắn, tôi thực sự muốn thua, nhưng bây giờ tôi thấy bạn là một thiên tài. Bạn đã làm được, Inma!"



	Alpheus cảm thấy choáng váng và nghĩ rằng mình sẽ chết, nhưng anh không có ý định thoát ra. Đó là Vòng tròn Vàng. Nếu không phải hôm nay, thì khi nào anh mới trải qua nỗi đau phấn khích như vậy?



