Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.
	“Khi ngươi trèo cao như vậy, sẽ không còn chỗ để trèo nữa, chẳng phải đó là cảnh giới của một pháp sư vĩ đại nhất sao?”



	Alpheus nhìn lại Olivia với nụ cười trên môi. Cô bé có vẻ mặt trầm ngâm. Cô bé trông dễ thương so với tuổi.



	Cuối cùng Olivia cũng mở miệng.





	“……Anh đang lờ tôi đi chỉ vì tôi là học sinh hạng 2 sao?”



	Alpheus không trả lời mà chỉ quay đầu lại hai ngàn lần.



	Làm sao người ta có thể bỏ qua một pháp sư bậc hai?



	Nhưng nếu bạn nghĩ về điều đó… … Trong số những pháp sư đã vươn lên vị trí đó, không có ai hài lòng với vị trí của mình.



	Khi đạt đến cấp độ của một Đại phù thủy, bất kỳ ai cũng có thể chạy tới cấp độ 1.



	Nó không hề tăng lên.



	Học sinh, chuyên gia và thậm chí cả pháp sư bậc hai cũng không thể tránh khỏi sự cạnh tranh.



	Thế giới phép thuật là nơi bạn phải chiến đấu đơn độc suốt cuộc đời để tiến xa hơn khỏi nơi bạn đang sống.



	Alpheus cũng mơ ước trở thành một phù thủy vĩ đại hạng nhất khi còn nhỏ.



	Tương lai là điều chưa biết trước, nhưng đã có lúc mọi người đều mong đợi điều đó sẽ xảy ra theo cách đó.



	Tuy nhiên, sau khi mất vợ là Erina và lang thang suốt 10 năm, khẩu súng đã biến mất.



	Nếu tôi bắt đầu lại từ thời điểm đó, liệu tôi có thể trở thành một ảo thuật gia hạng nhất không?



	Alpheus có thể khẳng định chắc chắn rằng điều đó là không thể.



	Đó không phải là hạng nhất. Đó không phải là vị trí bạn có thể hướng tới sau khi lãng phí 10 năm và đánh bại vô số thiên tài.



	Vậy còn Olivia thì sao?



	Cô là một người phụ nữ thông minh và không sống một cuộc sống xa hoa như anh ta. Thay vào đó, sau khi thất bại trong tình yêu, cô đã tinh chỉnh phép thuật của mình thậm chí còn tàn bạo hơn với mong muốn trả thù.



	Alpheus muốn biết. Olivia đã gần chứng kiến vinh quang tráng lệ của nơi đó đến mức nào?



	“Anh không cố gắng, đúng không?”



	Những câu hỏi của Alpheus không mạch lạc, nhưng Olivia nhanh chóng hiểu ra. Cô ấy cũng là một phù thủy.



	Olivia chớp chớp hàng mi dài và suy nghĩ một cách bình tĩnh. Sau đó cô ấy trề môi dưới ra và nói.



	“Hạng nhất. Đó không phải là trình độ có thể đạt được bằng cách cố gắng hết sức. Không, tôi không biết. Có lẽ trên thế giới có những người đã cố gắng hơn tôi. Nhưng ít nhất theo quan điểm của tôi, đó là một lĩnh vực có tài năng tuyệt đối.”



	Olivia nghĩ lại những năm qua để xem câu trả lời của mình có đáng tin cậy không. Sau đó, cô nhớ ra điều gì đó mà cô đã bỏ qua và từ từ thêm vào lời nói của mình.



	“Hoặc… cõi điên loạn.”



	Đôi mắt của Alpheus khép hờ. Những nếp nhăn đen hình thành quanh mắt anh và ánh sáng trong mắt anh bị hút vào vực thẳm.



	“Đó chính là điều Gaold đã nói.”



	Mikea Gaold, tốt nghiệp Trường Ma thuật Alpheus và là chủ tịch Hiệp hội Ma thuật Tormia.



	Trong những ngày còn đi học, không ai nghĩ rằng anh sẽ trở thành một pháp sư hạng nhất.



	Tôi nghĩ anh ấy sẽ là người tốt.



	Cậu bé thực sự là một đứa trẻ ngoan. Cậu bé là một tín đồ sùng đạo và nói rằng ước mơ của mình là lan tỏa tình yêu thương đến toàn thế giới.



	Hiện tại anh là pháp sư vĩ đại nhất vương quốc và đứng đầu Red Line.



	Đây sẽ là một vinh dự lớn cho vị phù thủy, nhưng lại là điều khủng khiếp đối với chính Goauld.



	Olivia nhớ lại một ký ức mơ hồ.



	Có một ngày, ánh mắt của những người quyền lực trên thế giới đổ dồn về Trường Phép thuật Alpheus.



	Đó là một sự kiện vượt qua sức nặng của lịch sử nhân loại, và Olivia là một trong những người có mặt tại sự kiện đó.



	“Thật đáng tiếc cho mê cung này.”



	Alpheus im lặng. Mê cung Adria. Và Mikea Gaold. Tim anh vẫn đau nhói khi nghĩ đến hai tông đồ.



	Olivia đột nhiên nhớ ra điều gì đó và hỏi.



	“Tôi nghĩ nó được gọi là Hội nghiên cứu tâm linh huyền bí?”



	Alpheus gật đầu cay đắng. Mọi sự kiện làm rung chuyển thế giới đều bắt đầu từ đó.



	“Cả Miro và Goald đều là thành viên lâu năm. Họ giống như những kẻ gây rối. Họ thực sự là một cơn đau đầu vào thời điểm đó. Họ chỉ gây ra những sự cố vô lý. Nhưng chính vì họ mà thế giới này tồn tại ngày hôm nay.”



	“Nó vẫn còn ở đó chứ? Ý tôi là, nhóm nghiên cứu.”



	Alpheus nhếch khóe miệng, bây giờ nghĩ lại, đúng là vận mệnh trớ trêu.



	“Shirone, Iruki và Nade. Những nhân vật chính của cuộc chiến này và những kẻ gây rối của thế giới đang bảo vệ họ. Họ là đàn em trực tiếp của Miro.”



	Mắt Olivia sáng lên khi nhìn Sirone.



	Hội nghiên cứu khoa học tâm linh huyền bí có vẻ như không phù hợp với một trường phái phép thuật theo đuổi trí tuệ, nhưng bạn càng nghĩ về nó, bạn càng thấy kinh ngạc trước ý nghĩa thực sự to lớn của nó.



	Nếu như Miro là trung tâm của nhóm học tập vào thời điểm đó, thì bây giờ là Shirone. Có thể là trùng hợp ngẫu nhiên, nhưng tôi nghĩ rằng phải có một sợi dây vô hình nào đó không thể phân tích được là nguyên nhân và kết quả khiến anh ta, người mở khóa duy nhất trong trường, quyết định tham gia nhóm học tập của Miro.





	Tiếng reo hò của học sinh làm Dante khó chịu. Anh muốn đứng dậy và đánh Sirone ngay lập tức, nhưng anh cần ít nhất hai giây nữa để hồi phục sau cú sốc của phép thuật chống lại.



	'Tôi phát điên mất. Tôi vẫn chưa thể đứng dậy được.'



	Đòn tấn công của Shirone là một điều kỳ diệu không thể diễn tả bằng từ bạo lực. Nếu cô ấy chậm trễ một chút trong việc thi triển vòng tròn ma thuật phòng thủ, trận đấu có thể đã kết thúc rồi.



	'Nhưng tôi đã kiên trì. Đó là tất cả những gì bạn cần nghĩ đến.'



	Đối với một pháp sư có tư tưởng phòng thủ, nguy hiểm là điều quen thuộc. Đối với anh ta, người chỉ có thể chiến thắng bằng cách loại bỏ các đòn tấn công của đối thủ, một lần hạ gục không phải là vấn đề nghiêm trọng như đối với các loại pháp sư khác.



	Nhưng nỗi xấu hổ khắc sâu trong lòng tôi thì rất lớn.



	Kể cả không nghiêm trọng thì đây cũng là lần đầu tiên tôi bị hạ gục nhanh như vậy khi đang chiến đấu với ai đó.



	'2 giây. 1 giây. Xong.'



	Dante cuối cùng cũng hồi phục sau cú sốc và từ từ đứng dậy. Thật khó tin, nhưng nhìn lại, có lẽ đó là kết quả đã được dự đoán.



	Anh không hề mất cảnh giác. Nhưng đáng sợ hơn thế là sự căng thẳng đã cướp đi khả năng phán đoán nhanh nhạy của anh.



	Điều đáng sợ nhất là ngay trước khi có chuyện gì đó xảy ra. Bây giờ anh đã đích thân trải nghiệm sức mạnh của Shirone, anh sẽ không bao giờ sa ngã một cách vô nghĩa như bây giờ.



	“Ta khen ngợi ngươi một câu, toàn bộ vương quốc chỉ có một số ít người có thể đẩy ta đi xa như vậy, ta sẽ xếp ngươi vào top 20.”



	Shirone không nói gì. Thái độ ngạo mạn của Dante khi xếp hạng học sinh giữa họ thậm chí còn không lọt vào tâm trí anh ta.



	Đó là một cuộc tấn công toàn diện với Immortal Function mở. Thành thật mà nói, tôi nghĩ rằng cuộc chiến đã kết thúc. Nhưng anh ta không ngã. Sự thật đó khiến Shirone tức giận.



	Dante nói và cắt tỉa Vùng Linh hồn.



	“Nhưng từ giờ trở đi sẽ khác, tốt nhất là nên chuẩn bị sẵn sàng…”



	“Dante.”



	Shirone cắt ngang cuộc trò chuyện như thể cô không cần nghe thêm nữa.



	Tôi phải kéo nó lên cao hơn một chút. Nó cần phải mạnh đến mức Dante không bao giờ có thể đứng dậy được.



	“Đây là lần cuối cùng tôi nói với anh.”



	Khi Sirone tiến đến gần anh, biến thành một tia sáng, Dante cảm thấy tim mình hẫng đi và vội vàng niệm phép dịch chuyển tức thời.



	Anh ta tránh được hàm răng của Shirone khi cô ta tiến vào, và thở hổn hển. Xét theo khoảng cách, nếu anh ta lùi lại dù chỉ một chút, họ sẽ va vào nhau.



	Anh ta muốn hủy diệt lẫn nhau sao? Không, rõ ràng là anh ta đã mong đợi loại phản ứng này.



	Quyền chủ động trong trận chiến vẫn nằm trong tay Shirone.



	'Nhưng chúng ta phải quay lại thôi.'



	Khi Dante, người đang rút lui, đổi hướng, tia sáng của Sirone cũng đổi góc đột ngột và đuổi theo anh ta.



	Trong bán kính 10 mét, là khoảng cách của một lần dịch chuyển tức thời, hai vệt sáng tô điểm bầu trời bằng chuyển động đáng kinh ngạc.



	Mắt các học sinh mở to không tin nổi. Chỉ mới một năm trước, Shirone đã tham gia kỳ thi thăng chức bằng cách dịch chuyển tức thời qua một cây cầu không thể vượt qua.



	Tất nhiên, ngay cả khi đó, Shirone đã có thành tích vượt qua Mê cung rồng, một cấp độ khó gồm 10 cấp, nhưng các kỹ thuật mà cô ấy đang thể hiện bây giờ đều là những kỹ thuật nâng cao được sử dụng bởi những người chuyên nghiệp.



	Dante cũng có trình độ kỹ năng tương tự, nhưng anh là một chuyên gia đã được đào tạo bài bản tại Trường Ma thuật Hoàng gia từ khi còn nhỏ.



	Tóm lại, tốc độ phát triển của Shirone quá nhanh. Tôi thậm chí còn nghĩ rằng có lẽ thời gian của cậu ấy trôi qua khác với những người khác.



	“Khi nào thì bạn đạt đến điểm đó vậy…?”



	Ngay lúc Mark lẩm bẩm, Sirone và Dante cùng lúc lao về phía nhau.



	Tim của các học sinh đều ngừng đập tại cùng một thời điểm.



	Có lẽ Shirone và Dante không biết rằng đối phương sẽ chọn tấn công, nhưng cả hai đều không nghĩ đến việc né tránh.



	Đây là một trò chơi nguy hiểm mà nếu một người không bỏ cuộc thì cả hai sẽ mất mạng.



	Hai tia sáng đan xen trên đường chân trời. Khi các học sinh nhắm chặt mắt, nghĩ rằng đó là kết thúc, hai bóng người quay về hai hướng ngược nhau cùng một lúc từ trung tâm đường chân trời.



	Mark không thể biết bằng mắt ai né trước. Ngay cả trong trò chơi gà, cả hai đều ngang tài ngang sức.



	“Cảm giác ma thuật có giống vậy không?”



	Iruki thực sự ấn tượng. Mặc dù đã bị đánh ngã một lần, nhưng động tác của Dante quá tuyệt vời đến mức anh ta xứng đáng với danh hiệu người giỏi nhất vương quốc.



	Sirone và Dante đang đuổi theo ảo ảnh của nhau.



	Mí mắt cứng đờ và đồng tử bị thu hẹp toàn bộ trường nhìn.



	Ngay cả khi thể hiện sự tập trung vượt quá giới hạn của con người, Sirone vẫn kinh ngạc trước kỹ năng phòng thủ của Dante.



	'Khả năng phòng thủ của anh ấy thực sự đáng kinh ngạc. Tôi không thể nào hiểu được anh ấy.'



	Những chuyển động của Dante, kiên quyết và phòng thủ, là một tác phẩm nghệ thuật. Nếu anh ta tiến lên 10 mét, anh ta sẽ lùi lại 10 mét, và ngay cả khi anh ta thay đổi thành 9,8 mét, anh ta vẫn thoát được trong khi vẫn duy trì khoảng cách chính xác như vậy.



	=======================================





Số 249





	Nhưng Shirone vẫn không ngừng dịch chuyển tức thời.



	Dù phòng thủ có chính xác đến đâu cũng không thể vượt qua được cơ chế phản ứng trước kích thích.



	'Đã đến lúc rồi!'



	Ngay khi Shirone nghiêng người về phía trước trong trạng thái quang hợp, Dante biến thành ánh sáng và lùi lại.



	Phản xạ gần như siêu phàm. Nhưng lần này, chúng là chất độc. Shirone rút lại động tác giả và bước lùi lại.



	'Ối!'



	Khi Dante nhận ra chiến lược của Sirone, khả năng dịch chuyển tức thời đã được kích hoạt và anh ta đang di chuyển ra xa.



	Khi khoảng cách đột nhiên mở rộng đến 20 mét, Shirone ngay lập tức khai hỏa pháo photon.



	Những động tác của Dante đều vô dụng trước quả cầu lửa photon đang lao tới, nó đang ăn mòn không gian mà anh có thể trốn thoát. Dante chọn mặt đất là lối thoát duy nhất của mình, và ngay khi tiếp đất, anh ta mở ra một vòng tròn ma thuật phòng thủ trên đầu.



	Shirone nghiến răng và liên tục niệm phép.



	Chức năng bất tử mở rộng tâm trí của phù thủy vô hạn, nhưng thực tế không dễ dàng như vậy. Nếu khóa vô cực được giải phóng hoàn toàn, bản ngã sẽ tan rã.



	Đó là lý do tại sao Unlocker rút sức mạnh vô hạn qua một lỗ gọi là Spirit Zone. Spirit Zone hoạt động như một rào cản hỗ trợ ranh giới giữa thực tại và vô cực.



	Cuối cùng, nó có thể được gọi là sức mạnh tinh thần vô tận, nhưng nếu độ bền của Vùng Linh hồn không đủ để chịu được sức nặng vô hạn, nó cũng mang theo nguy cơ bị cuốn trôi trong chốc lát.



	Tuy nhiên, Shirone không hề nao núng mặc dù cô đã sử dụng nhiều sức mạnh tinh thần hơn giới hạn khả dụng của mình. Điều này là nhờ cô đã đạt đến trạng thái của Diamond Formation, một trạng thái đã vượt qua ranh giới của sức chịu đựng.



	'Nhiều hơn nữa! Nhiều hơn nữa!'



	Những khẩu pháo photon trút xuống mặt đất không ngừng nghỉ, được cung cấp năng lượng bởi sức mạnh tinh thần to lớn.



	“Ồ!”



	Dante trải mười vòng tròn ma pháp phòng ngự trên đầu như mái nhà và chống đỡ bằng tất cả sức mạnh của mình. Nhưng anh vẫn nghĩ rằng đó là chuyện vô nghĩa. Nếu bất kỳ con người nào liên tục thi triển ma pháp, sức mạnh sẽ dần giảm đi. Tuy nhiên, sức tấn công của Sirone không hề yếu đi, mà ngược lại còn trở nên mạnh mẽ hơn.



	'Chuyện quái gì thế! Làm sao mà anh có được sức mạnh tấn công đó vậy?'



	Tôi chưa bao giờ cảm thấy nản lòng đến thế, ngay cả khi phải đối đầu với những võ sĩ mạnh nhất của vương quốc.



	Dante đột nhiên nhận ra. Chức năng bất tử. Những gì anh từng nghĩ chỉ là trò chơi tinh thần của một nhà sư giờ đây đang đè nặng anh một cách thảm hại.



	Cuộc ném bom kéo dài trong suốt hai phút.



	Dante không thể di chuyển một inch từ nơi anh bị chặn. Ngay cả khả năng né tránh của anh cũng không thể chống lại cơn mưa đòn tấn công.



	Các học sinh lo lắng liếc nhìn chiếc vòng tay thứ hai nghìn đang nóng lên. Thực tế là chiếc vòng tay kiểm soát việc trao đổi thông tin thứ hai nghìn đủ nóng để có thể cảm nhận được trên da là bằng chứng cho thấy lượng thông tin được trao đổi giữa Sirone và Dante đang tăng lên nhanh chóng.



	“Nó sẽ không nổ như thế này chứ?”



	Amy trả lời câu hỏi kinh hãi của Mark.



	“Đừng lo lắng. Ngay cả lớp tốt nghiệp cũng không có vấn đề gì. Ngay cả khi hệ thống Icheon quá nóng, thiết bị an toàn sẽ kích hoạt trong trường hợp xấu nhất.”



	Mark thở phào nhẹ nhõm.



	“Ồ, tôi hiểu rồi.”



	Amy thêm một từ nữa.



	“Tất nhiên, trời không thường nóng như thế này.”



	Shirone bắt đầu cảm thấy chán nản. Ngay cả sau ba phút, hàng phòng ngự của Dante vẫn không bị phá vỡ. Tuy nhiên, sự chống cự thô bạo của Dante chỉ tiếp thêm sức mạnh cho tinh thần chiến đấu của Shirone.



	'sau đó……!'



	Shirone ngừng bắn pháo photon và bắn tia laser. Một tia sáng đỏ duy nhất chiếu xuống vòng tròn ma thuật của Dante.



	Khi sức mạnh yếu hơn dự kiến, Dante cười như không có chuyện gì và bắt đầu sửa chữa vòng tròn ma thuật.



	Khoảng mười vòng tròn ma thuật ngay lập tức trở lại trạng thái hoàn hảo.



	Nhưng sau một lúc, khuôn mặt của Dante hơi biến dạng, và không giống như trước, anh cảm thấy một nguồn năng lượng mạnh hơn cả pháo photon.



	“Cái, cái gì thế này……!”



	Ngay khi Dante thốt lên lời kinh ngạc, Sirone đã khuếch đại tia laser hết sức có thể.



	Chùm tia laser bắt đầu tăng kích thước nhanh chóng.



	Cuối cùng, khi toàn bộ sức mạnh được rút ra từ Cõi vô tận được đổ vào, một tia sáng đỏ khổng lồ đã hoàn toàn nhấn chìm vị trí của Dante.



	Các sinh viên nuốt nước bọt khi nhìn thấy cái bóng của Dante, trông như đang bốc cháy.



	Khi chùm tia laser bắt đầu thu nhỏ lại và cuối cùng biến mất, Dante được nhìn thấy đang đứng đó, khuôn mặt được che phủ bởi cánh tay. Không có dấu vết nào của vòng tròn ma thuật phòng thủ đã chặn pháo photon.



	Sirone đáp xuống đối diện Dante. Từ từ hạ tay xuống, Dante trừng mắt nhìn Sirone và nghiến răng.



	"Mẹ kiếp......"



	Đầu gối của Dante khuỵu xuống và anh ngã xuống sàn.



	Tôi cố gắng chống cự bằng cách nào đó, nhưng sức mạnh hủy diệt của pháo photon là không thể cưỡng lại. Cú sốc của phản ma thuật đánh vào não tôi không thể so sánh với bất kỳ loại ma thuật nào tôi từng trải qua ở Icheonbeon.



	“Chuyện này không thể xảy ra được… Dante lại quỳ xuống rồi.”



	Bạn có thể nghĩ rằng lần xuống đầu tiên chỉ là một đòn tấn công bất ngờ của Shirone, nhưng lần này sự khác biệt rõ ràng về kỹ năng đã dẫn đến lần xuống đó.



	Đó là lý do tại sao kết quả hiện tại lại gây sốc cho sinh viên.



	Cũng có tiếng thì thầm từ phía khoa. Ai có thể nghĩ rằng Sirone, người chỉ mới học phép thuật trong một năm, có thể đánh bại Dante, pháp sư số một của vương quốc, hai lần?



	Etella nói.



	"Anh ta có tính cách sắc sảo, nhưng phép thuật của anh ta lại vô cùng mạnh mẽ. Việc anh ta không có kỹ năng còn sót lại là một bất lợi, nhưng sức mạnh hủy diệt của anh ta vượt xa điều đó."



	Bạn có thể biết được tính cách của một phù thủy bằng cách nhìn vào phép thuật họ sử dụng. Điều này đặc biệt đúng với những người Unlocker, những người chủ yếu sử dụng phép thuật của họ thông qua các loại pin độc đáo của riêng họ.



	Sade thèm thuồng trước lời khen của Etella.



	Mặc dù Shirone là người chiếm trọn tình yêu của tất cả các nữ sinh, nhưng họ không thân thiết với cô ở phương diện cá nhân, nhưng họ đều công nhận năng lực của cô.



	“Ồ, anh ấy là người nghiêm túc trong mọi việc.”



	Sự nhiệt tình của các sinh viên thậm chí còn tăng cao hơn sau khi Dante bị hạ bệ.



	Mọi người đồng thanh hô vang tên Shirone, và tiếng vang lại vang lên, một lần nữa nâng cao tâm trạng.



	Nade chớp mắt nói.



	“Phép thuật của Shirone… ban đầu nó có mạnh đến vậy không?”



	Iruki cũng có suy nghĩ tương tự.



	“Có thể là anh ấy tự tin, hoặc có thể là anh ấy nhắm đến một hiệu ứng tâm lý. Đây là điều đã thay đổi so với học kỳ trước. Có vẻ như có sự thay đổi trong tâm lý của anh ấy.”



	Amy, người đang chống cằm trên tay, nhếch khóe môi lên.



	“Ừm… Tôi đã trải qua một số thời điểm khó khăn.”



	Sirone đã chiến đấu một trận chiến đẫm máu với Parrot Mercenaries trên đảo Galliant. Ở Thiên đường, anh đã chiến đấu với nhiều kẻ thù mạnh mẽ vượt trội hơn con người.



	Nếu giống như học kỳ trước thì sẽ khá kỳ lạ.



	“Ôi trời ơi……. Dante……. Sao chuyện này lại có thể xảy ra…….”



	Phóng viên Killain bị sốc bởi kết quả hiện tại. Ngoại trừ thành tích bất bại của mình, học sinh đơn phương hạ gục Dante là điều anh chưa từng gặp trong bất kỳ trận đấu nào trước đây.



	'Shirone? Sao một đứa trẻ như thế này lại chưa từng xuất hiện trên tạp chí nhỉ?'



	Theo điều tra, Shirone chỉ mới học trường phép thuật được một năm. Nếu đúng như vậy, cô ấy sẽ không có thời gian để nổi bật trên phương tiện truyền thông hay bất cứ thứ gì.



	Khi lần đầu nghe câu chuyện, Killin không tin. Không, ngay cả khi nó là sự thật, anh nghĩ đó chỉ là một câu chuyện cường điệu về một học sinh tầm thường từ một trường học địa phương.



	Nhưng anh ta hoàn toàn áp đảo Dante. Anh ta là một tân binh xuất hiện giống như một sao chổi.



	Dante từ từ đứng dậy. Không giống như sự sụp đổ ban đầu, khuôn mặt anh không biểu lộ cảm xúc gì.



	“Thứ hai xuống. Đây cũng là lần đầu tiên của tôi.”



	Dante phun ra những lời này, lắc đầu. Đếm nữa cũng chẳng có ý nghĩa gì.



	Bởi vì Shirone lần đầu tiên trở thành con người.



	Ban đầu, pháp sư tập trung vào tấn công là loại mà anh có thể chế biến dễ dàng nhất và cũng là loại mà anh thích nhất. Tuy nhiên, nó lại phản tác dụng trước một đối thủ có sức mạnh đấm đáng kinh ngạc như vậy.



	Một nụ cười cay đắng hiện lên trên môi Dante. Cậu chưa bao giờ nghĩ mình sẽ sử dụng vòng tròn ma thuật này trước khi bước vào năm cuối cấp.



	Nó không những không bao giờ được sử dụng trong các trận đấu chính thức mà còn chỉ được sử dụng có hai lần, ngay cả khi tính cả những trận đấu không chính thức.



	Closer và Sabina là những người duy nhất biết rằng hai đối thủ hiện tại là một pháp sư cấp 9 và 70 tên trộm cấp B.



	“Tôi xin lỗi. Tôi nghĩ là tôi đã đánh giá thấp anh.”



	Lúc này, một vòng tròn ma pháp cực lớn phát ra ánh sáng đỏ xuất hiện trên người Dante, so với vòng tròn ma pháp chớp mắt kia rõ ràng hơn rất nhiều, cũng lớn hơn gấp mười lần.



	Shiina nhận thấy chỉ số sức mạnh tinh thần của Dante đột nhiên giảm hơn một nửa.



	Sức mạnh tinh thần to lớn chưa từng có dấu hiệu suy yếu trong suốt các trận chiến cho đến nay. Thật khó để đoán được vòng tròn ma thuật sử dụng một nửa sức mạnh đó là gì.



	“Chiến dịch trung tâm Magic Circle Pascal.”



	Khi Dante lẩm bẩm, một vòng tròn ma thuật khổng lồ bắt đầu cháy đỏ, và hơn 100 vòng tròn ma thuật xuất hiện cùng lúc.



	Shirone kinh ngạc nhìn thấy vòng tròn ma thuật, mỗi người đều niệm một loại ma thuật khác nhau. Cảm giác như đang đối phó với 100 pháp sư vậy.



	“Chức năng bất tử. Tôi thấy buồn cười, nhưng chắc chắn là tuyệt vời. Tôi đoán đó là sự sáng suốt của Unlocker?”



	Shirone không có thời gian trả lời. Bất kể là loại ma thuật nào, nó đều ở một cấp độ khác với vòng tròn ma thuật tức thời. Nếu anh không phân tích nó càng sớm càng tốt, anh sẽ mất đi cơ hội chiến thắng.



	“Lần này tôi sẽ cho anh thấy những gì tôi có.”



	Ngay khi Dante đưa tay ra, đủ loại phép thuật tuôn ra từ hơn 100 vòng tròn ma thuật.



	Máy cắt gió và quả cầu lửa, tia sét và ngọn giáo băng, thậm chí cả đầu ra photon phi vật lý.



	Shirone vô cùng sửng sốt trước cảnh tượng trước mắt.



	Điều gây sốc nhất là có tới hơn 10 loại phép thuật được thi triển cùng lúc.



	Ngay cả Iruki, một Servant, cũng chỉ có thể sử dụng hai loại phép thuật với Vùng Linh hồn Song song, nên việc anh cảm thấy như mình đang mơ cũng là điều dễ hiểu.



	Nade cắn ngón tay cái và nói.



	“Có lẽ… đó là một mạch song song.”



	Mark quay đầu lại với vẻ mặt ngạc nhiên.



	“Hả? Mạch song song? Những vòng tròn ma thuật đó?”



	“Ma thuật đòi hỏi sự tập trung cao độ. Khi niệm một phép thuật duy nhất, bạn không thể nghĩ đến bất cứ điều gì khác. Tuy nhiên, mỗi vòng tròn ma thuật của Dante đều có một mạch độc lập.”



	“Có thể sao? Trừ khi bạn có nhiều bộ não, nếu không bạn chỉ có thể tạo ra một vòng tròn ma thuật cho mỗi pin. Cho dù là thụ động, thì việc tạo ra nó theo thứ tự thời gian là tiêu chuẩn.”



